"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Law_Enforced","Court_Type","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust cts","Aust"
"7A.28","2019-20","Judicial officers","All ages","All people","All people","All areas","Civil","All civil courts (excl. the Federal Court of Australia; the FCFCOA (Division 1); the FCFCOA (Division 2); the WA Family court and the coroners' courts)","","Number of FTE judicial officers","Civil","All civil courts (excl. the Federal Court of Australia; the FCFCOA (Division 1); the FCFCOA (Division 2); the WA Family court and the coroners' courts)","","","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","101.3","127.2","37.3","41.5","23.0","5.5","4.1","11.0","..","350.9"
"7A.28","2019-20","Judicial officers","All ages","All people","All people","All areas","Civil","Supreme","","Number of FTE judicial officers","Civil","Supreme courts","","","","Australian state and territory court authorities and departments (unpublished)","no.","45.0","48.8","14.4","17.8","6.7","3.4","2.2","4.6","..","142.9"
"7A.28","2019-20","Judicial officers","All ages","All people","All people","All areas","Civil","District/county","","Number of FTE judicial officers","Civil","District/county courts","","","","Australian state and territory court authorities and departments (unpublished)","no.","12.8","22.9","6.2","6.0","6.7","..","..","..","..","54.5"
"7A.28","2019-20","Judicial officers","All ages","All people","All people","All areas","Civil","Magistrates' (excl. children's)","","Number of FTE judicial officers","Civil","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","Australian state and territory court authorities and departments (unpublished)","no.","27.4","43.4","14.0","15.0","6.6","1.8","1.4","5.9","..","115.4"
"7A.28","2019-20","Judicial officers","All ages","All people","All people","All areas","Civil","Children's","","Number of FTE judicial officers","Civil","Magistrates' courts","Children's courts","","","Australian state and territory court authorities and departments (unpublished)","no.","16.2","12.1","2.7","2.7","3.0","0.3","0.5","0.6","..","38.1"
"7A.28","2019-20","Judicial officers","All ages","All people","All people","All areas","Civil","Federal Court of Australia","","Number of FTE judicial officers","Civil","Federal Court of Australia","","","","Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","..","..","..","..","..","49.8","49.8"
"7A.28","2019-20","Judicial officers","All ages","All people","All people","All areas","Civil","Family/FCFCOA (Division 1) and FCFCOA (Division 2)","","Number of FTE judicial officers","Civil","WA Family court/FCFCOA (Division 1) and FCFCOA (Division 2)","Family law matters","","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","14.7","..","..","..","..","na","na"
"7A.28","2019-20","Judicial officers","All ages","All people","All people","All areas","Civil","FCFCOA (Division 2)","","Number of FTE judicial officers","Civil","FCFCOA (Division 2)","Non-family law matters","","","Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","..","..","..","..","..","na","na"
"7A.28","2019-20","Judicial officers","All ages","All people","All people","All areas","Civil","Coroners'","","Number of FTE judicial officers","Civil","Coroners' courts","","","","Australian state and territory court authorities and departments (unpublished)","no.","5.3","9.6","8.6","4.4","2.7","3.0","0.2","1.5","..","35.2"
"7A.28","2019-20","Judicial officers","All ages","All people","All people","All areas","Criminal and civil","All criminal and civil courts","","Number of FTE judicial officers","Criminal and civil","All criminal and civil courts","","","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","278.3","289.6","169.6","125.7","76.7","22.7","14.9","27.8","na","na"
"7A.28","2019-20","Judicial officers","All ages","All people","All people","All areas","Criminal and civil","Supreme","","Number of FTE judicial officers","Criminal and civil","Supreme courts","","","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","56.7","61.5","24.8","24.0","13.6","7.8","6.4","9.5","..","204.2"
"7A.28","2019-20","Judicial officers","All ages","All people","All people","All areas","Criminal and civil","District/county","","Number of FTE judicial officers","Criminal and civil","District/county courts","","","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","75.0","71.9","35.5","28.7","21.3","..","..","..","..","232.4"
"7A.28","2019-20","Judicial officers","All ages","All people","All people","All areas","Criminal and civil","Magistrates' (excl. children's)","","Number of FTE judicial officers","Criminal and civil","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","114.4","131.6","90.4","48.3","34.8","10.5","7.4","15.2","..","452.7"
"7A.28","2019-20","Judicial officers","All ages","All people","All people","All areas","Criminal and civil","Children's","","Number of FTE judicial officers","Criminal and civil","Magistrates' courts","Children's courts","","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","27.0","15.1","10.2","5.5","4.3","1.4","0.9","1.6","..","66.0"
"7A.28","2019-20","Judicial officers","All ages","All people","All people","All areas","Criminal","All criminal courts","","Number of FTE judicial officers per 100000 people","Criminal","All criminal courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","2.1","2.3","2.4","2.4","2.9","2.6","2.4","6.2","..","2.4"
"7A.28","2019-20","Judicial officers","All ages","All people","All people","All areas","Criminal","Supreme","","Number of FTE judicial officers per 100000 people","Criminal","Supreme courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","0.1","0.2","0.2","0.2","0.4","0.8","0.9","2.0","..","0.2"
"7A.28","2019-20","Judicial officers","All ages","All people","All people","All areas","Criminal","District/county","","Number of FTE judicial officers per 100000 people","Criminal","District/county courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","0.8","0.7","0.6","0.8","0.8","..","..","..","..","0.7"
"7A.28","2019-20","Judicial officers","All ages","All people","All people","All areas","Criminal","Magistrates' (excl. children's)","","Number of FTE judicial officers per 100000 people","Criminal","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","Derived from State and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","1.1","1.3","1.5","1.2","1.6","1.6","1.4","3.8","..","1.3"
"7A.28","2019-20","Judicial officers","All ages","All people","All people","All areas","Criminal","Children's","","Number of FTE judicial officers per 100000 people","Criminal","Magistrates' courts","Children's courts","","","Derived from State and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","0.1","0","0.1","0.1","0.1","0.2","0.1","0.4","..","0.1"
"7A.28","2019-20","Judicial officers","All ages","All people","All people","All areas","Civil","All civil courts","","Number of FTE judicial officers per 100000 people","Civil","All civil courts","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","1.3","2.1","0.9","2.3","1.4","1.5","1.0","5.1","na","na"
